GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Gene.name
ENSG00000267325,18,53443958,53448952,12,4,303417,3.9233,4.37E-05,RP11-397A16.2
ENSG00000242052,3,119354373,119354997,95,22,336693,3.9215,4.40E-05,RP11-190C22.1
ENSG00000259070,14,39218543,39417477,53,18,331993,3.9052,4.71E-05,LINC00639
ENSG00000240083,5,87677774,87678542,6,3,356874,3.8966,4.88E-05,RPS3AP22
ENSG00000199289,6,26519579,26519686,10,3,297443,3.8923,4.96E-05,RNU6-502P
ENSG00000198218,3,49067140,49131796,172,28,325696,3.8823,5.17E-05,QRICH1
ENSG00000132698,1,156030951,156040305,111,14,326559,3.8777,5.27E-05,RAB25
ENSG00000253892,8,49569820,49571454,96,24,319559,3.8711,5.42E-05,RP11-770E5.2
ENSG00000183396,3,48658192,48659288,50,13,307270,3.8707,5.43E-05,TMEM89
ENSG00000250306,5,87678765,87679077,7,2,357025,3.8683,5.48E-05,CTC-498M16.3
ENSG00000124549,6,26421619,26432611,154,19,321264,3.8547,5.79E-05,BTN2A3P
ENSG00000186470,6,26365387,26378548,130,17,323315,3.8528,5.84E-05,BTN3A2
ENSG00000173209,2,61404553,61418338,156,25,334976,3.8488,5.93E-05,AHSA2
ENSG00000177352,3,49199968,49203754,31,10,305281,3.8243,6.56E-05,CCDC71
ENSG00000255838,12,129428819,129429748,26,8,308971,3.8162,6.78E-05,RP11-753B7.2
ENSG00000247828,5,87564712,87732502,69,17,316847,3.7879,7.60E-05,TMEM161B-AS1
ENSG00000163564,1,158901342,158946844,187,14,323108,3.7792,7.87E-05,PYHIN1
ENSG00000106771,9,111777432,111882225,174,38,334247,3.77,8.16E-05,TMEM245
ENSG00000068001,3,50355221,50360337,3,2,356244,3.7669,8.26E-05,HYAL2
ENSG00000114302,3,48784012,48885279,116,17,333350,3.7514,8.79E-05,PRKAR2A
ENSG00000254391,5,160112358,160119896,6,3,344722,3.7492,8.87E-05,CTC-529G1.1
ENSG00000228677,21,38559967,38566227,7,2,355711,3.7467,8.96E-05,TTC3-AS1
ENSG00000178537,3,48894364,48936426,59,14,339708,3.7204,9.95E-05,SLC25A20
ENSG00000266776,6,31668806,31668868,6,4,306187,3.7153,0.00010149,MIR4646
ENSG00000197403,1,158735534,158736472,166,31,306454,3.7013,0.00010724,OR6N1
ENSG00000255266,11,57637794,57638043,6,3,355203,3.687,0.00011346,RP11-734C14.2
ENSG00000160789,1,156052369,156109880,42,5,351409,3.6763,0.00011832,LMNA
ENSG00000199591,3,47973298,47973404,2,1,356102,3.6747,0.00011907,Y_RNA
ENSG00000273957,5,99724557,99725642,84,25,340909,3.6736,0.00011957,NA
ENSG00000250705,5,87898598,87898935,3,1,356672,3.6642,0.00012406,CTC-470C15.1
ENSG00000238863,18,3424257,3424347,46,7,315750,3.6581,0.00012704,snoU13
ENSG00000271332,11,28166454,28166751,7,3,355111,3.6571,0.00012756,RP11-797J4.1
ENSG00000170144,2,178077291,178088686,21,6,321542,3.6507,0.00013076,HNRNPA3
ENSG00000184005,1,76540404,77100286,63,16,309043,3.644,0.0001342,ST6GALNAC3
ENSG00000281131,2,181556831,181781666,116,33,338261,3.6431,0.00013468,NA
ENSG00000185808,21,38431470,38445470,34,6,340086,3.6267,0.00014355,PIGP
ENSG00000011523,2,65283506,65314138,157,26,319574,3.6197,0.00014745,CEP68
ENSG00000249614,4,104882773,104958080,141,34,311831,3.6195,0.00014759,RP11-703G6.1
ENSG00000254589,11,58009515,58010569,56,17,329664,3.5929,0.00016349,EIF4A2P3
ENSG00000221457,3,147798620,147798709,79,18,340121,3.5917,0.00016426,AC092958.1
ENSG00000105538,19,49223844,49243978,34,7,321601,3.5881,0.00016654,RASIP1
ENSG00000166741,11,114128553,114184007,82,26,331854,3.5837,0.00016939,NNMT
ENSG00000250740,4,106848217,106853879,13,2,317946,3.5741,0.00017575,RP11-710F7.2
ENSG00000168065,11,64323098,64340347,48,19,315664,3.555,0.00018898,SLC22A11
ENSG00000240589,17,42486429,42486726,3,2,352641,3.5545,0.00018938,RN7SL258P
ENSG00000144283,2,159313609,159539391,244,57,317169,3.5521,0.00019107,PKP4
ENSG00000263969,21,38587906,38588202,5,2,356359,3.5431,0.00019773,RN7SL678P
ENSG00000253137,8,85591033,85592077,25,4,291255,3.5427,0.00019806,RP11-509P12.1
ENSG00000227295,1,158145640,158147545,13,2,333498,3.5391,0.00020078,ELL2P1
ENSG00000240995,17,47225701,47226473,47,11,338582,3.5311,0.00020695,RP11-708H21.1
ENSG00000188101,9,95675438,95683842,75,23,321069,3.5249,0.00021183,ALOX15P2
ENSG00000131400,19,50861734,50869087,7,3,332022,3.5233,0.00021312,NAPSA
ENSG00000234207,2,22600466,22704876,12,5,345063,3.5172,0.00021808,AC096570.2
ENSG00000265596,1,38554903,38555001,70,16,341159,3.5141,0.00022061,MIR3659
ENSG00000272855,1,77102562,77103024,18,5,341407,3.5123,0.00022213,RP5-1102E8.3
ENSG00000176697,11,27676440,27743605,107,23,331767,3.5092,0.00022476,BDNF
ENSG00000168071,11,64107695,64125006,119,32,314475,3.5066,0.00022695,CCDC88B
ENSG00000254749,11,57713070,57713886,11,4,355582,3.5065,0.00022702,OR5BD1P
ENSG00000183145,21,38378863,38391959,58,25,317998,3.5042,0.00022897,RIPPLY3
ENSG00000271071,6,26612131,26613337,23,10,326264,3.5009,0.00023186,RP11-457M11.6
ENSG00000233712,1,157606090,157610091,279,14,325005,3.4948,0.00023721,RP4-801G22.3
ENSG00000198561,11,57520715,57587018,57,13,340466,3.4933,0.00023855,CTNND1
ENSG00000224161,18,57428790,57429137,87,15,319743,3.4909,0.00024067,RPS26P54
ENSG00000212289,11,27543152,27543273,8,2,348230,3.4849,0.00024618,RNA5SP339
ENSG00000173531,3,49721380,49726486,9,4,315527,3.4813,0.00024952,MST1
ENSG00000178035,3,49061758,49066823,45,12,334758,3.4751,0.00025531,IMPDH2
ENSG00000234369,10,64981915,64982805,52,11,337174,3.4726,0.00025777,TATDN1P1
ENSG00000119326,9,111704849,111775809,57,14,345126,3.466,0.00026409,CTNNAL1
ENSG00000244730,3,49812718,49813047,8,3,356969,3.4642,0.00026587,RP13-1056D16.2
ENSG00000256134,12,16124824,16125543,17,1,357063,3.4556,0.00027451,RP11-674J14.3
ENSG00000008300,3,48673902,48700348,63,13,342579,3.4493,0.00028102,CELSR3
ENSG00000231993,22,41570595,41593460,55,17,321586,3.4411,0.00028967,RP1-85F18.5
ENSG00000178057,3,49057892,49060928,38,15,325903,3.4407,0.00029015,NDUFAF3
ENSG00000255582,14,22101992,22103096,20,6,246413,3.4359,0.00029533,OR10G2
ENSG00000266168,7,57472731,57472796,55,9,345857,3.4322,0.00029932,MIR3147
ENSG00000198643,3,58619673,58652575,105,28,323693,3.431,0.00030069,FAM3D
ENSG00000179456,1,244212241,244220778,15,7,321390,3.4225,0.0003102,ZBTB18
ENSG00000110031,11,58294344,58345693,139,33,330494,3.4171,0.00031649,LPXN
ENSG00000149292,11,113185251,113254266,428,74,329607,3.414,0.00032011,TTC12
ENSG00000064270,16,84402133,84497793,339,74,318756,3.4084,0.00032676,ATP2C2
ENSG00000206958,5,87678589,87678724,22,4,335762,3.4076,0.00032764,SNORA70
ENSG00000110888,12,30862487,30907448,39,12,331537,3.4046,0.00033131,CAPRIN2
ENSG00000196337,19,49557532,49562117,145,36,319196,3.3991,0.00033808,CGB7
ENSG00000216179,14,101530832,101530915,9,2,347207,3.3968,0.00034095,MIR541
ENSG00000163428,3,120043356,120068186,21,7,335839,3.3947,0.00034346,LRRC58
ENSG00000272020,3,125879126,125879288,10,3,346767,3.3816,0.00036028,U1
ENSG00000111801,6,26440700,26453643,26,8,274597,3.3765,0.00036706,BTN3A3
ENSG00000110274,11,117198571,117283984,377,80,331313,3.372,0.00037309,CEP164
ENSG00000173540,3,49754277,49761384,16,6,311314,3.3697,0.00037628,GMPPB
ENSG00000072803,5,171288553,171433877,333,68,330567,3.3694,0.00037669,FBXW11
ENSG00000231812,7,97515180,97515386,312,48,318238,3.3674,0.00037934,AC005326.2
ENSG00000235816,10,65187057,65187699,11,5,317124,3.3641,0.00038397,PRELID1P3
ENSG00000218180,6,121974941,121975836,34,10,327105,3.3623,0.00038643,SLC25A5P7
ENSG00000233716,2,63459588,63460712,6,3,307750,3.3599,0.00038981,AC074367.1
ENSG00000235120,3,49677916,49679202,6,2,355875,3.3594,0.00039063,BSN-AS1
ENSG00000279708,15,89902072,89903608,11,3,353222,3.354,0.00039833,NA
ENSG00000267005,19,36664308,36664755,41,8,326782,3.3523,0.00040068,AC002984.2
ENSG00000255692,12,120137573,120138816,4,2,279869,3.3475,0.00040769,RP1-127H14.3
ENSG00000231143,6,94873638,94904376,48,13,275587,3.3426,0.00041499,RP3-463P15.1
ENSG00000228586,2,159542415,159610287,128,31,334119,3.3402,0.00041859,AC005042.5
ENSG00000176731,8,86126311,86132650,65,15,270176,3.335,0.00042643,C8orf59
ENSG00000253655,8,85892308,85892782,5,3,328884,3.3248,0.0004424,IGJP1
ENSG00000227182,7,57482534,57483429,74,11,331654,3.3244,0.00044307,VN1R28P
ENSG00000155090,8,103661007,103668130,50,19,315694,3.3236,0.00044427,KLF10
ENSG00000105856,7,106809406,106842974,110,25,336456,3.3203,0.00044955,HBP1
ENSG00000280307,11,87590365,87590987,13,4,334410,3.3135,0.00046068,NA
ENSG00000228939,1,243956507,243957702,7,3,305411,3.3133,0.00046106,AKT3-IT1
ENSG00000073331,4,113218499,113363762,63,18,342049,3.3102,0.00046608,ALPK1
ENSG00000230361,7,62837707,62838611,209,33,324321,3.3069,0.00047162,VN1R32P
ENSG00000116954,1,39303870,39325495,189,37,331408,3.3034,0.00047764,RRAGC
ENSG00000182670,21,38445571,38575413,254,42,330237,3.3017,0.00048044,TTC3
ENSG00000272989,3,197232133,197233857,24,5,315708,3.3011,0.00048152,RP13-616I3.1
ENSG00000257962,8,86158524,86162077,9,4,284114,3.2922,0.00049706,RP11-219B4.6
ENSG00000166558,16,84043389,84075762,219,64,327152,3.291,0.00049913,SLC38A8
ENSG00000169519,11,28129795,28355054,13,4,289574,3.291,0.0004992,METTL15
ENSG00000074201,11,77325575,77348850,202,33,324701,3.2875,0.00050547,CLNS1A
ENSG00000220184,6,122179325,122179914,147,30,325326,3.287,0.00050622,HMGB3P18
ENSG00000269392,19,50869137,50872588,3,1,355335,3.2864,0.00050744,CTB-191K22.6
ENSG00000140416,15,63334831,63364114,180,49,335321,3.2816,0.00051613,TPM1
ENSG00000196357,19,36672962,36737159,23,6,340501,3.2753,0.0005278,ZNF565
ENSG00000001630,7,91741465,91764117,114,27,328169,3.2741,0.00052997,CYP51A1
ENSG00000267172,18,53484398,53486990,7,3,354786,3.2729,0.0005323,RP11-397A16.3
ENSG00000146350,6,121401383,121655626,127,29,334665,3.272,0.00053392,TBC1D32
ENSG00000100401,22,41641615,41682255,201,30,316972,3.2662,0.00054509,RANGAP1
ENSG00000014216,11,64948665,64979477,40,7,341704,3.2615,0.00055403,CAPN1
ENSG00000214706,3,50325163,50330349,3,2,354238,3.2581,0.00056086,IFRD2
ENSG00000241956,5,163723702,164598649,441,81,314082,3.2575,0.000562,CTC-340A15.2
ENSG00000238317,2,203157772,203157859,10,4,315617,3.2571,0.00056279,SNORD11
ENSG00000254350,5,157851593,157879766,71,16,331595,3.2548,0.00056731,RP11-542A14.1
ENSG00000121210,4,154387498,154557863,232,27,331815,3.2542,0.00056847,KIAA0922
ENSG00000227195,20,26167556,26232162,102,24,323197,3.2471,0.00058287,MIR663A
ENSG00000172037,3,49158547,49170551,57,13,347445,3.2408,0.00059597,LAMB2
ENSG00000248942,5,73602235,73604150,40,8,312694,3.2388,0.00060023,CTD-2275D24.4
ENSG00000233437,7,56943078,56949839,101,14,298543,3.2383,0.0006012,RP13-580B18.1
ENSG00000133739,8,86019382,86058311,70,14,272779,3.232,0.00061467,LRRCC1
ENSG00000251596,4,166325219,166327502,24,5,337638,3.2231,0.00063406,HADHAP1
ENSG00000240997,6,88555368,88555663,12,5,301031,3.2226,0.00063521,RN7SL183P
ENSG00000271852,2,203156055,203156144,10,2,356934,3.2221,0.00063618,SNORD11B
ENSG00000114378,3,50337320,50349812,13,6,287796,3.2214,0.00063786,HYAL1
ENSG00000159921,9,36214438,36277053,58,11,332350,3.22,0.00064097,GNE
ENSG00000235016,3,50153455,50193518,18,7,320134,3.2196,0.00064192,RP11-493K19.3
ENSG00000246331,12,30908008,30933673,13,5,355598,3.2194,0.0006424,RP11-77I22.2
ENSG00000270915,2,203369735,203370066,72,12,325422,3.2187,0.00064396,RP11-27M5.1
ENSG00000003756,3,50126341,50156454,10,3,356174,3.2119,0.00065936,RBM5
ENSG00000122543,7,5919458,5925993,156,47,319023,3.1925,0.0007052,OCM
ENSG00000245573,11,27528385,27719721,84,19,335349,3.1914,0.00070803,BDNF-AS
ENSG00000177479,3,48956254,49023815,69,16,336089,3.1898,0.00071181,ARIH2
ENSG00000176095,3,49761727,49823975,50,12,322862,3.1851,0.00072361,IP6K1
ENSG00000174951,19,49251268,49258647,22,8,321520,3.1848,0.00072416,FUT1
ENSG00000138069,2,65313989,65357240,56,12,323932,3.1711,0.00075928,RAB1A
ENSG00000267170,17,68237465,68237902,13,6,318772,3.1694,0.00076367,CALM2P1
ENSG00000276778,5,157747691,157836781,84,13,310142,3.1635,0.00077944,NA
ENSG00000231421,17,28900489,28904018,13,3,347757,3.1629,0.00078113,AC006050.2
ENSG00000220506,6,111816194,111816916,54,10,331715,3.1617,0.00078413,RP3-415N12.1
ENSG00000148541,10,61005889,61122661,255,39,332674,3.1609,0.00078654,FAM13C
ENSG00000228149,21,37541268,37542478,46,9,317822,3.1541,0.00080485,RPL3P1
ENSG00000261811,16,5265395,5270595,80,19,330348,3.1533,0.00080731,RP11-382N13.2
ENSG00000106178,7,75440983,75452674,113,31,275492,3.1492,0.00081869,CCL24
ENSG00000255274,11,117874349,117959014,26,9,350463,3.1462,0.00082714,TMPRSS4-AS1
ENSG00000105865,7,107204403,107218909,7,3,346668,3.1461,0.00082725,DUS4L
ENSG00000159259,21,37757676,37791313,336,68,327098,3.1454,0.00082939,CHAF1B
ENSG00000198113,9,140172201,140177093,112,32,276043,3.1427,0.00083699,TOR4A
ENSG00000224843,6,26924771,26991703,283,37,329729,3.1379,0.00085089,LINC00240
ENSG00000206701,8,85577994,85578100,75,6,293677,3.1369,0.00085382,RNU6-1040P
ENSG00000129473,14,23775971,23780968,55,11,329789,3.1359,0.00085654,BCL2L2
ENSG00000250923,7,57832889,57833087,14,5,309700,3.1324,0.00086681,RP11-548K12.8
ENSG00000203413,8,85860820,85861909,4,2,251228,3.1311,0.00087069,ACTBP6
ENSG00000254366,8,78311308,78449526,55,9,319486,3.1284,0.00087866,RP11-38H17.1
ENSG00000162302,11,64126620,64139687,104,26,328329,3.1275,0.00088144,RPS6KA4
ENSG00000265631,18,15247428,15247996,6,3,286429,3.1228,0.00089568,BNIP3P3
ENSG00000249228,4,29048213,29050387,89,15,335888,3.1224,0.00089703,RP11-769N22.1
ENSG00000250461,5,60670939,60671682,59,17,338388,3.1204,0.00090305,RP11-631M6.2
ENSG00000100348,22,36863083,36878077,92,15,328209,3.1194,0.00090598,TXN2
ENSG00000263798,17,46022790,46051804,5,2,356476,3.1192,0.00090671,RP11-6N17.9
ENSG00000149150,11,57252007,57283259,40,15,320710,3.1185,0.00090901,SLC43A1
ENSG00000254862,11,27493276,27503980,5,3,331078,3.1182,0.00090992,RP11-159H22.2
ENSG00000236960,10,19780001,19780228,17,6,279847,3.115,0.00091961,RP11-265G8.3
ENSG00000248710,3,159945241,160167617,13,5,301345,3.1123,0.00092827,RP11-432B6.3
ENSG00000250156,5,87704799,87734907,15,3,337152,3.1117,0.00093002,CTC-498M16.2
ENSG00000241472,3,62246540,62355005,31,12,300811,3.1105,0.00093393,PTPRG-AS1
ENSG00000166261,11,123594885,123612379,23,6,236839,3.1104,0.00093431,ZNF202
ENSG00000204386,6,31826829,31830683,50,20,341177,3.106,0.0009482,NEU1
ENSG00000215771,22,41585731,41586192,27,9,322117,3.1016,0.00096224,LRRC37A14P
ENSG00000163915,3,185430316,185447575,17,7,334175,3.1013,0.00096345,C3orf65
ENSG00000272966,2,203201462,203201923,5,1,299637,3.1005,0.00096597,RP11-686O6.1
ENSG00000251609,4,121816649,121818238,11,4,323642,3.1,0.00096775,SETP12
ENSG00000223836,7,57879738,57880116,40,10,332823,3.0993,0.00097002,RP11-548K12.2
ENSG00000143951,2,63348518,63815933,143,26,334342,3.0981,0.00097383,WDPCP
ENSG00000232568,2,187126146,187126646,43,5,308086,3.0962,0.00098018,RPL23AP35
ENSG00000270957,7,57544872,57545601,16,4,347941,3.094,0.0009873,RP11-1324A7.2
ENSG00000254606,11,28538379,28540888,48,9,301623,3.0922,0.00099328,RP11-22P4.2
ENSG00000271117,7,36186451,36187633,28,4,336510,3.092,0.00099417,RP11-377H23.1
ENSG00000250962,8,89497339,89498323,8,3,303353,3.0895,0.0010024,RP11-69I13.1
ENSG00000139131,12,32899478,32908836,58,14,328666,3.0883,0.0010066,YARS2
ENSG00000237651,2,61372203,61391964,76,18,321936,3.0812,0.0010309,C2orf74
ENSG00000231870,17,28894718,28898766,34,8,305347,3.0802,0.0010342,KRT17P3
ENSG00000050555,9,133884469,133968446,279,56,321015,3.079,0.0010385,LAMC3
ENSG00000279712,22,48312477,48322013,92,15,348553,3.0767,0.0010464,NA
ENSG00000113758,5,176883609,176900742,29,10,288237,3.0765,0.0010474,DBN1
ENSG00000270971,8,86555006,86558554,226,36,325482,3.0734,0.0010582,REXO1L8P
ENSG00000142233,19,49164664,49176264,11,4,350867,3.0701,0.0010699,NTN5
ENSG00000247416,11,112830002,112834182,20,5,330754,3.0697,0.0010712,RP11-629G13.1
ENSG00000244512,4,185200089,185200384,169,43,316892,3.0695,0.0010719,RN7SL28P
ENSG00000259281,15,77952394,77960416,52,8,345257,3.0682,0.0010767,CTD-2632K10.1
ENSG00000249673,4,2936626,2963465,26,9,349201,3.0677,0.0010784,NOP14-AS1
ENSG00000163898,3,185224050,185270401,194,18,337381,3.0649,0.0010888,LIPH
ENSG00000229345,9,98361827,98368568,6,3,307675,3.0642,0.0010914,RP11-332M4.1
ENSG00000271259,12,89765597,89766136,9,5,353574,3.0576,0.0011155,RP11-1109F11.5
ENSG00000173728,1,244515937,244552393,139,39,319185,3.057,0.0011177,C1orf100
ENSG00000218643,6,19348412,19349307,25,9,322659,3.0556,0.0011229,RPL5P20
ENSG00000227015,7,57830325,57830652,14,5,334599,3.0528,0.0011335,RP11-548K12.6
ENSG00000211590,21,37093013,37093106,3,1,356265,3.0519,0.0011372,MIR802
ENSG00000214305,11,107650219,107652316,14,5,329038,3.0491,0.0011477,AP001024.1
ENSG00000173402,3,49506136,49573051,17,6,327995,3.049,0.0011479,DAG1
ENSG00000151366,11,77779350,77791265,5,2,357042,3.0487,0.0011492,NDUFC2
ENSG00000259112,11,77728017,77790911,5,2,357042,3.0487,0.0011492,NDUFC2-KCTD14
ENSG00000250889,5,74343544,74348668,11,3,326516,3.0456,0.001161,RP11-229C3.2
ENSG00000055044,2,203130439,203168389,55,15,324051,3.0446,0.0011651,NOP58
ENSG00000282849,1,200447148,200452732,142,29,327968,3.0436,0.0011687,NA
ENSG00000254208,8,86089757,86090385,4,2,355777,3.0402,0.0011823,RP11-219B4.3
ENSG00000172575,15,38780304,38857776,65,19,322279,3.0339,0.0012069,RASGRP1
ENSG00000113231,5,76506706,76725632,124,39,320123,3.0336,0.0012082,PDE8B
ENSG00000255496,11,27717859,27899195,6,2,355474,3.0271,0.0012346,RP11-587D21.4
ENSG00000233643,10,63541503,63581004,13,7,327232,3.0253,0.001242,RP11-491H19.1
ENSG00000279881,8,49340703,49343601,65,13,328610,3.0234,0.0012498,NA
ENSG00000227331,2,159404937,159405736,50,9,334627,3.0225,0.0012536,AC005042.2
ENSG00000139645,12,56631591,56652175,86,10,277903,3.0194,0.0012663,ANKRD52
ENSG00000243761,8,87055331,87055736,90,20,329758,3.0186,0.0012696,RP11-216N21.2
ENSG00000275178,18,74805042,74805402,159,48,320029,3.0175,0.0012743,NA
ENSG00000137513,11,78147007,78285909,130,21,342970,3.0167,0.0012776,NARS2
ENSG00000272569,11,57938570,57939193,41,12,312853,3.0141,0.0012889,OR5BL1P
ENSG00000234816,6,26044217,26044585,93,24,340136,3.0092,0.0013096,U91328.2
ENSG00000264519,11,63565260,63565543,174,39,327553,3.0065,0.0013212,RN7SL596P
ENSG00000265504,17,1733135,1733217,2,1,349457,3.0044,0.0013303,AC130689.1
ENSG00000279821,5,176903632,176906657,5,2,279223,3.0043,0.0013312,NA
ENSG00000231405,22,27539439,27555840,38,12,309756,3.0036,0.0013342,CTA-992D9.7
ENSG00000253630,5,157174512,157174715,6,3,355054,3.002,0.0013412,CTC-370J7.1
ENSG00000253500,8,88553063,88767946,109,23,308999,3.0009,0.0013461,AF121898.3
ENSG00000243307,6,26864731,26866556,55,16,310859,2.9986,0.0013559,RP11-239L20.3
ENSG00000249142,5,32522864,32523971,89,21,335573,2.9943,0.0013756,CTD-2290P7.1
ENSG00000225085,9,85020103,85021154,4,1,354020,2.9917,0.0013872,RP11-15B24.1
ENSG00000179869,7,48211057,48687091,367,45,336782,2.991,0.0013904,ABCA13
ENSG00000158315,1,39351479,39407471,193,46,316088,2.9893,0.001398,RHBDL2
ENSG00000232242,9,105373444,105374437,7,2,314320,2.9873,0.0014072,ZYG11AP1
ENSG00000258948,14,39196479,39197685,96,28,328633,2.9841,0.0014219,KRT8P1
ENSG00000266053,18,9121263,9136643,20,7,299399,2.9786,0.0014478,RP11-143J12.2
ENSG00000140961,16,83982672,83999937,140,25,327382,2.9766,0.0014571,OSGIN1
ENSG00000117400,1,43803520,43818443,36,13,326100,2.9737,0.0014711,MPL
ENSG00000213719,6,31698358,31707540,19,10,352123,2.9702,0.0014881,CLIC1
ENSG00000178149,3,49052921,49058684,5,3,222475,2.9683,0.0014972,DALRD3
ENSG00000206939,3,70857501,70857603,7,2,292074,2.9674,0.0015019,RNU6-281P
ENSG00000248490,5,27412720,27436518,26,6,338598,2.9665,0.001506,CTD-3007L5.1
ENSG00000233936,9,138137542,138144554,161,34,311582,2.9594,0.0015413,RP11-399H11.2
ENSG00000236468,1,199356269,199357603,23,6,350294,2.9574,0.0015513,RP11-104D3.2
ENSG00000132780,1,46049660,46084576,80,20,322982,2.9568,0.0015542,NASP
ENSG00000215283,9,36303496,36304921,75,20,335776,2.9556,0.0015604,HMGB3P24
ENSG00000196419,22,42017123,42060052,80,20,303428,2.9529,0.0015742,XRCC6
ENSG00000145022,3,49449639,49453908,8,3,356647,2.9518,0.0015795,TCTA
ENSG00000267113,19,36448023,36448284,67,10,326629,2.9512,0.0015827,AF038458.4
ENSG00000134899,13,103497194,103528351,85,25,327033,2.9502,0.0015879,ERCC5
ENSG00000008517,16,3115298,3119820,24,10,282427,2.9482,0.0015981,IL32
ENSG00000233109,8,49826475,49826939,201,32,329322,2.9475,0.0016015,RP11-22C8.1
ENSG00000264943,17,28951431,28952512,10,2,319058,2.9428,0.0016265,SH3GL1P2
ENSG00000227480,2,159023162,159092681,41,13,323962,2.9427,0.0016267,CCDC148-AS1
ENSG00000270828,6,146058047,146058309,3,1,354764,2.9422,0.0016297,RP3-466P17.2
ENSG00000241549,6,26839263,26924333,590,57,328994,2.9419,0.0016312,GUSBP2
