GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Gene.name
ENSG00000272025,2,65385796,65385994,7,2,301672,3.2966,0.00048927,SNORA74
ENSG00000260996,9,140188320,140190173,82,21,262172,3.2936,0.00049465,RP13-122B23.8
ENSG00000257962,8,86158524,86162077,9,4,284114,3.2922,0.00049706,RP11-219B4.6
ENSG00000269392,19,50869137,50872588,3,1,355335,3.2864,0.00050744,CTB-191K22.6
ENSG00000258498,14,102018558,102026768,121,26,332051,3.2855,0.00050893,DIO3OS
ENSG00000225302,10,118588272,118609716,122,19,281835,3.2765,0.0005256,RP11-539I5.1
ENSG00000245812,5,158527491,158544486,173,34,330293,3.2716,0.00053464,RP11-175K6.1
ENSG00000173153,11,64073044,64084215,71,12,332210,3.2672,0.00054313,ESRRA
ENSG00000166104,15,62520095,62545434,74,20,339164,3.2639,0.00054948,hsa-mir-7162
ENSG00000225935,7,107283210,107283468,35,6,325524,3.2586,0.0005598,BANF1P5
ENSG00000214706,3,50325163,50330349,3,2,354238,3.2581,0.00056086,IFRD2
ENSG00000238317,2,203157772,203157859,10,4,315617,3.2571,0.00056279,SNORD11
ENSG00000260951,7,25397859,25399527,85,24,312330,3.2561,0.0005647,RP5-978I12.1
ENSG00000234369,10,64981915,64982805,3,1,356922,3.2485,0.0005801,TATDN1P1
ENSG00000214867,21,37667471,37668000,31,11,330342,3.2479,0.0005812,SRSF9P1
ENSG00000224301,10,64883698,64885297,9,3,315923,3.2476,0.00058182,RP11-144G16.1
ENSG00000248942,5,73602235,73604150,52,12,309434,3.2461,0.00058505,CTD-2275D24.4
ENSG00000231841,4,153848598,153849359,58,8,309905,3.2438,0.00058966,RP11-206F17.2
ENSG00000126653,17,28443799,28513493,32,9,297585,3.2428,0.00059173,NSRP1
ENSG00000253553,8,89339065,89749363,43,15,309093,3.242,0.00059351,RP11-586K2.1
ENSG00000276778,5,157747691,157836781,19,4,338114,3.2404,0.00059689,NA
ENSG00000229419,9,108282409,108288640,193,31,301083,3.2372,0.00060359,RALGAPA1P
ENSG00000251596,4,166325219,166327502,24,5,337638,3.2231,0.00063406,HADHAP1
ENSG00000240997,6,88555368,88555663,12,5,301031,3.2226,0.00063521,RN7SL183P
ENSG00000271852,2,203156055,203156144,10,2,356934,3.2221,0.00063618,SNORD11B
ENSG00000253401,8,88587826,88588736,78,14,312024,3.2214,0.00063781,AF121898.2
ENSG00000114378,3,50337320,50349812,13,6,287796,3.2214,0.00063786,HYAL1
ENSG00000257023,12,22762162,22777949,3,2,352375,3.221,0.00063883,RP11-268P4.4
ENSG00000180714,11,57684769,57685711,7,2,272876,3.2209,0.00063904,OR5AZ1P
ENSG00000166886,12,57482677,57489259,70,11,289836,3.2198,0.00064142,NAB2
ENSG00000246331,12,30908008,30933673,13,5,355598,3.2194,0.0006424,RP11-77I22.2
ENSG00000272900,11,58059298,58060237,66,19,316099,3.2128,0.0006572,OR10Q2P
ENSG00000119326,9,111704849,111775809,22,8,340567,3.2125,0.00065788,CTNNAL1
ENSG00000238431,7,57294708,57294773,20,8,343034,3.2124,0.00065813,RNU7-157P
ENSG00000229268,9,13986174,13987908,72,12,337813,3.2088,0.00066639,PES1P2
ENSG00000279881,8,49340703,49343601,21,6,349830,3.2067,0.00067129,NA
ENSG00000224406,3,186172771,186211450,26,9,328479,3.2026,0.00068088,RP11-48F14.1
ENSG00000206129,18,53670844,53858493,137,38,332386,3.1973,0.0006935,CTD-2008L17.2
ENSG00000258592,14,57532978,57579378,531,122,309433,3.1891,0.00071348,RP11-108M12.3
ENSG00000137802,15,42066632,42120053,198,33,309437,3.1867,0.00071964,MAPKBP1
ENSG00000174951,19,49251268,49258647,22,8,321520,3.1848,0.00072416,FUT1
ENSG00000114302,3,48784012,48885279,140,22,335985,3.1749,0.00074953,PRKAR2A
ENSG00000172037,3,49158547,49170551,22,10,325037,3.1698,0.00076283,LAMB2
ENSG00000159921,9,36214438,36277053,89,22,335450,3.1696,0.00076312,GNE
ENSG00000267170,17,68237465,68237902,13,6,318772,3.1694,0.00076367,CALM2P1
ENSG00000111110,12,63037762,63328817,614,60,334785,3.1677,0.00076823,PPM1H
ENSG00000136527,3,185633694,185655924,45,14,337347,3.1658,0.00077321,TRA2B
ENSG00000231421,17,28900489,28904018,13,3,347757,3.1629,0.00078113,AC006050.2
ENSG00000178057,3,49057892,49060928,30,9,320463,3.16,0.00078894,NDUFAF3
ENSG00000254407,11,123210882,123211422,77,11,322456,3.1562,0.00079931,RP11-109E10.2
ENSG00000233705,7,107294413,107302596,21,4,326650,3.1554,0.00080134,SLC26A4-AS1
ENSG00000213045,1,200298289,200298805,54,14,335762,3.1519,0.00081109,RP11-532L16.1
ENSG00000203780,10,127585108,127698161,355,79,313227,3.1501,0.00081614,FANK1
ENSG00000227456,21,35530024,35562545,91,26,337233,3.1476,0.00082301,LINC00310
ENSG00000255274,11,117874349,117959014,26,9,350463,3.1462,0.00082714,TMPRSS4-AS1
ENSG00000105865,7,107204403,107218909,7,3,346668,3.1461,0.00082725,DUS4L
ENSG00000270526,11,65281874,65282394,10,5,317007,3.1461,0.0008274,SNRPGP19
ENSG00000008394,12,16500076,16530126,73,24,327911,3.1444,0.00083225,MGST1
ENSG00000187492,3,49828165,49837268,29,9,352956,3.1442,0.00083276,CDHR4
ENSG00000243144,7,90940683,91144724,184,40,309122,3.1442,0.00083277,RP11-115N4.1
ENSG00000226454,6,40484075,40491672,95,18,319195,3.1428,0.00083675,RP3-462C17.1
ENSG00000236075,6,40469370,40470132,118,18,321874,3.1375,0.000852,RP11-121P10.1
ENSG00000179915,2,50145643,51259699,690,94,329122,3.1363,0.00085533,NRXN1
ENSG00000250923,7,57832889,57833087,14,5,309700,3.1324,0.00086681,RP11-548K12.8
ENSG00000257674,12,42680713,42682362,59,10,325735,3.1321,0.00086785,RP11-76E16.2
ENSG00000203413,8,85860820,85861909,4,2,251228,3.1311,0.00087069,ACTBP6
ENSG00000170209,11,113258513,113271140,47,9,333160,3.1275,0.00088161,ANKK1
ENSG00000055044,2,203130439,203168389,52,15,316410,3.1274,0.0008818,NOP58
ENSG00000236496,9,2875442,2876427,74,21,317757,3.1253,0.00088815,RP11-255J3.2
ENSG00000243761,8,87055331,87055736,40,11,318194,3.1239,0.00089221,RP11-216N21.2
ENSG00000265631,18,15247428,15247996,6,3,286429,3.1228,0.00089568,BNIP3P3
ENSG00000134086,3,10182692,10193904,64,16,325647,3.1224,0.00089699,VHL
ENSG00000225118,10,94637849,94638046,243,49,329060,3.1223,0.00089734,RP11-477L16.2
ENSG00000165476,10,65281123,65384883,155,24,308595,3.1198,0.00090483,REEP3
ENSG00000263798,17,46022790,46051804,5,2,356476,3.1192,0.00090671,RP11-6N17.9
ENSG00000254862,11,27493276,27503980,5,3,331078,3.1182,0.00090992,RP11-159H22.2
ENSG00000236960,10,19780001,19780228,17,6,279847,3.115,0.00091961,RP11-265G8.3
ENSG00000248710,3,159945241,160167617,13,5,301345,3.1123,0.00092827,RP11-432B6.3
ENSG00000250156,5,87704799,87734907,15,3,337152,3.1117,0.00093002,CTC-498M16.2
ENSG00000124134,20,43720951,43729753,21,7,311679,3.1106,0.0009335,KCNS1
ENSG00000166261,11,123594885,123612379,23,6,236839,3.1104,0.00093431,ZNF202
ENSG00000270437,2,63310143,63314457,59,15,295103,3.1077,0.00094265,RP11-511I11.2
ENSG00000197548,3,11314102,11599139,915,105,326182,3.1019,0.00096142,ATG7
ENSG00000129460,14,23938897,23948032,24,8,343487,3.1009,0.00096476,NGDN
ENSG00000272966,2,203201462,203201923,5,1,299637,3.1005,0.00096597,RP11-686O6.1
ENSG00000237770,9,84581479,84587045,44,12,324796,3.1001,0.00096737,SPATA31D2P
ENSG00000182271,17,28643351,28661077,51,10,333222,3.0965,0.00097912,TMIGD1
ENSG00000270957,7,57544872,57545601,16,4,347941,3.094,0.0009873,RP11-1324A7.2
ENSG00000271117,7,36186451,36187633,28,4,336510,3.092,0.00099417,RP11-377H23.1
ENSG00000250962,8,89497339,89498323,8,3,303353,3.0895,0.0010024,RP11-69I13.1
ENSG00000107263,9,134452157,134615461,417,44,317307,3.0876,0.0010087,RAPGEF1
ENSG00000231200,2,22156208,22753977,252,26,344928,3.0836,0.0010226,AC068490.2
ENSG00000215283,9,36303496,36304921,58,15,338198,3.0812,0.0010309,HMGB3P24
ENSG00000279712,22,48312477,48322013,92,15,348553,3.0767,0.0010464,NA
ENSG00000100162,22,42334725,42343168,48,10,310167,3.0765,0.0010473,CENPM
ENSG00000275928,8,86745648,86749507,29,5,263695,3.0764,0.0010475,NA
ENSG00000133895,11,64570982,64578766,177,38,333503,3.0738,0.0010568,MEN1
ENSG00000188338,3,50242679,50258918,4,2,338968,3.0721,0.0010627,SLC38A3
ENSG00000248624,5,31657325,31665174,16,6,334248,3.0713,0.0010655,RP11-5N11.2
ENSG00000247416,11,112830002,112834182,20,5,330754,3.0697,0.0010712,RP11-629G13.1
ENSG00000249673,4,2936626,2963465,26,9,349201,3.0677,0.0010784,NOP14-AS1
ENSG00000229345,9,98361827,98368568,6,3,307675,3.0642,0.0010914,RP11-332M4.1
ENSG00000240661,3,120068296,120142673,69,16,333379,3.0634,0.0010942,RP11-174O3.3
ENSG00000177337,18,3593730,3598350,62,12,334246,3.0632,0.001095,DLGAP1-AS1
ENSG00000226622,2,62817390,62889789,37,12,298669,3.0591,0.0011098,AC092155.4
ENSG00000271259,12,89765597,89766136,9,5,353574,3.0576,0.0011155,RP11-1109F11.5
ENSG00000100393,22,41487790,41576083,29,7,342212,3.0549,0.0011255,EP300
ENSG00000227015,7,57830325,57830652,14,5,334599,3.0528,0.0011335,RP11-548K12.6
ENSG00000127603,1,39546988,39952849,818,39,334024,3.0507,0.0011415,MACF1
ENSG00000224411,11,27910385,27912580,49,11,336710,3.0502,0.0011435,RP11-1033A18.1
ENSG00000255299,11,58265361,58273231,15,6,355295,3.0496,0.0011458,RP11-655C2.3
ENSG00000214305,11,107650219,107652316,14,5,329038,3.0491,0.0011477,AP001024.1
ENSG00000259112,11,77728017,77790911,5,2,357042,3.0487,0.0011492,NDUFC2-KCTD14
ENSG00000264275,2,203198162,203198451,6,1,357027,3.0483,0.0011508,RN7SL753P
ENSG00000250889,5,74343544,74348668,11,3,326516,3.0456,0.001161,RP11-229C3.2
ENSG00000281131,2,181556831,181781666,126,32,340903,3.0413,0.0011776,NA
ENSG00000241956,5,163723702,164598649,655,104,328399,3.0404,0.0011815,CTC-340A15.2
ENSG00000254208,8,86089757,86090385,4,2,355777,3.0402,0.0011823,RP11-219B4.3
ENSG00000271848,10,75413797,75434477,7,4,308548,3.0393,0.0011857,RP11-464F9.21
ENSG00000174963,3,147103833,147124647,16,8,347952,3.0386,0.0011883,ZIC4
ENSG00000183682,1,39957318,39991607,303,66,325610,3.0382,0.0011899,BMP8A
ENSG00000204420,6,31691121,31694491,19,7,329716,3.0381,0.0011904,C6orf25
ENSG00000011523,2,65283506,65314138,29,8,319262,3.0372,0.0011941,CEP68
ENSG00000228504,1,95776484,95783819,95,16,339382,3.0348,0.0012034,RP4-586O15.1
ENSG00000172772,11,58034264,58035732,47,13,345306,3.0344,0.0012053,OR10W1
ENSG00000075790,7,107220422,107263762,29,9,324971,3.0341,0.0012061,BCAP29
ENSG00000170396,2,185463093,185804219,110,24,339367,3.032,0.0012147,ZNF804A
ENSG00000255496,11,27717859,27899195,6,2,355474,3.0271,0.0012346,RP11-587D21.4
ENSG00000252494,11,77844466,77844568,17,2,353224,3.0258,0.00124,RNU6-126P
ENSG00000233643,10,63541503,63581004,13,7,327232,3.0253,0.001242,RP11-491H19.1
ENSG00000157152,3,12045876,12232900,188,26,338238,3.0222,0.0012546,SYN2
ENSG00000250885,5,32646670,32652082,395,49,327668,3.0196,0.0012654,CTD-2004A9.1
ENSG00000234816,6,26044217,26044585,43,11,346167,3.0183,0.001271,U91328.2
ENSG00000259922,16,57046983,57048012,5,2,351709,3.0171,0.0012759,RP11-322D14.1
ENSG00000179994,7,72333321,72341076,197,48,310423,3.0126,0.001295,SPDYE7P
ENSG00000114270,3,48601506,48632700,72,20,301976,3.0122,0.0012967,COL7A1
ENSG00000145861,5,159774758,159797648,138,18,321180,3.0115,0.0012996,C1QTNF2
ENSG00000277436,8,86826996,86831012,76,22,274663,3.0116,0.0012996,NA
ENSG00000105550,19,49258816,49261587,13,6,330230,3.0096,0.0013078,FGF21
ENSG00000265504,17,1733135,1733217,2,1,349457,3.0044,0.0013303,AC130689.1
ENSG00000279821,5,176903632,176906657,5,2,279223,3.0043,0.0013312,NA
ENSG00000253630,5,157174512,157174715,6,3,355054,3.002,0.0013412,CTC-370J7.1
ENSG00000206759,3,66343538,66343644,50,16,328152,3.0009,0.0013459,RNU6-787P
ENSG00000231993,22,41570595,41593460,40,10,304604,2.9993,0.0013528,RP1-85F18.5
ENSG00000234380,21,36118054,36157183,319,26,339963,2.9952,0.0013712,AP000330.8
ENSG00000149131,11,57364991,57382326,7,4,304639,2.9943,0.0013756,SERPING1
ENSG00000225085,9,85020103,85021154,4,1,354020,2.9917,0.0013872,RP11-15B24.1
ENSG00000237187,5,92745065,92921354,93,42,317912,2.991,0.0013903,NR2F1-AS1
ENSG00000008382,19,4343524,4360083,36,13,328032,2.9909,0.0013908,MPND
ENSG00000100401,22,41641615,41682255,89,17,321406,2.9868,0.0014094,RANGAP1
ENSG00000167680,19,4542605,4559820,109,16,313364,2.9852,0.001417,SEMA6B
ENSG00000266053,18,9121263,9136643,20,7,299399,2.9786,0.0014478,RP11-143J12.2
ENSG00000212215,5,60959972,60960066,68,29,314601,2.9745,0.0014673,RNU6-913P
